Date,NAV,Daily_PnL,Daily_Return,Equity,Cash,Turnover_$,Slippage_$,Est_Return,Selected_Sharpe,Selected_Risk,N_Held,Held_Tickers,W_APA,W_OXY,W_ETR,W_LITE,W_CIEN,W_GEV,W_EIX,W_MRK,W_DVA,W_VRT,W_PCG,W_DGX,W_MRNA,W_HWM,W_FIX,W_UNH,W_DELL,W_CEG,W_EXC,W_SNDK,W_AEP,W_HUM,W_AWK,W_PNW,W_ODFL,W_CRL,W_WST,W_INTC,W_VLO,W_PPL,W_PWR,W_DTE,W_FANG,W_NEE,W_STX,W_EME,W_MPC,W_ELV
2026-04-17,1067268.7608502975,10396.973637642339,0.009837497569182764,1067268.4537338116,0.3071164859838973,628908.8553146911,62.89088553146911,0.009507157855586404,4.948965780630259,0.0009299788009269269,10,"CIEN,APA,ETR,SNDK,OXY,FIX,EIX,VRT,UNH,MRNA",0.050001933314291196,0.05000123920868418,0.05000110785497523,,0.4999923818531075,,0.05000101079073249,,,0.050007223043681576,,,0.05000179080016601,,0.05000169579700231,0.05000106145332215,,,,0.09999025575909955,,,,,,,,,,,,,,,,,,
2026-04-20,1064093.731113434,-8687.592984266113,-0.008098195586666383,1064093.7262125707,0.004900863452348858,767132.9546382386,76.71329546382385,0.009330872927803532,6.195635495358588,0.0005715751940191502,10,"CIEN,SNDK,APA,ETR,GEV,OXY,AEP,VRT,UNH,MRNA",0.17713770533119635,0.04999998257405858,0.04999997646472971,,0.24546732839785337,0.0499999766160059,,,,0.04999999446197799,,,0.04999998174684271,,,0.04999997652216234,,,,0.22739509093443924,0.0499999755309473,,,,,,,,,,,,,,,,,
2026-04-21,1084737.669647366,7740.302305653226,0.007186927786795008,1084737.4007590937,0.26888827234506607,859343.9469169163,85.93439469169165,0.008869155222023615,5.88188931099504,0.0005729693058794213,10,"CIEN,DELL,ETR,GEV,APA,MRNA,HUM,AWK,VRT,OXY",0.10976990056998637,0.050000183526680814,0.05000016464894335,,0.3442135646590493,0.05000013323637079,,,,0.050000123313570455,,,0.050000352769792325,,,,0.1960150031369642,,,,,0.05000018309731263,0.050000123808107894,,,,,,,,,,,,,,,
2026-04-22,1090246.3656033464,-8527.193496983033,-0.007760646792379185,1090246.2018573,0.16374604643107293,726769.4275862783,72.67694275862785,0.01016896837992758,6.715260527347337,0.0005778679417712553,10,"DELL,CIEN,APA,MRNA,ETR,OXY,VRT,PNW,ODFL,CRL",0.0633455662118805,0.050000041598137215,0.050000017435081194,,0.20990209602619822,,,,,0.050000041159333576,,,0.05000005417278914,,,,0.37675195561300945,,,,,,,0.05000001349822608,0.05000002372574255,0.05000002197488689,,,,,,,,,,,,
2026-04-23,1096040.448552398,2163.8263654005714,0.001978126528633927,1096035.1002065032,5.3483458947594045,304504.40098477004,30.45044009847701,0.010002255433437166,6.532960929995954,0.0005907126908211965,10,"DELL,CIEN,APA,GEV,OXY,UNH,MRNA,VRT,ETR,PNW",0.0635960922234755,0.04999999243699327,0.04999998523967632,,0.16984567095200315,0.04999998780150622,,,,0.04999999206687019,,,0.04999998981207373,,,0.049999987399183626,0.416558285119331,,,,,,,0.04999998477504877,,,,,,,,,,,,,,
2026-04-24,1104793.9856016033,3227.136486897245,0.0029295875139042095,1104788.5737387233,5.411862880100699,502297.8834885433,50.229788348854335,0.01049186207837677,6.928835282980446,0.0005778102109798667,10,"DELL,UNH,APA,GEV,SNDK,OXY,FIX,MRNA,ETR,PNW",0.0620558269041486,0.04999998337472377,0.0499999780705407,,,0.04999998522447532,,,,,,,0.04999998004369606,,0.04999997966872337,0.049999980190626236,0.43732088191950313,,,0.15062340618658207,,,,0.04999997778451284,,,,,,,,,,,,,,
2026-04-27,1107983.1629314339,-6742.625587766524,-0.00604868538721385,1107982.9200488506,0.24288258324509115,499543.86423525406,49.95438642352541,0.01032853216288353,6.84985126385135,0.0005729483465058609,10,"DELL,UNH,GEV,WST,CIEN,ETR,APA,FIX,OXY,PNW",0.06260179621439235,0.05000009312343621,0.0500000395377821,,0.165808478870262,0.05000032557553157,,,,,,,,,0.050000083138100296,0.050000068314274525,0.42158876631283737,,,,,,,0.05000003250510525,,,0.05000008222912153,,,,,,,,,,,
2026-04-28,1090967.6439458798,3102.227022688603,0.002851664346002127,1090962.6057068966,5.038238983233896,985406.5294135022,98.54065294135026,0.010816105215705705,7.2206725231498154,0.0005654406789912939,10,"INTC,WST,UNH,DELL,GEV,VRT,ETR,APA,VLO,CEG",0.049999966884289655,,0.0499999640809669,,,0.049999966929426855,,,,0.04999996593126217,,,,,,0.04999996504405982,0.2979172615173483,0.04999996380161949,,,,,,,,,0.04999996543288298,0.30208299816390843,0.0499999649417357,,,,,,,,,
2026-04-29,1141146.3758233637,38313.58185579465,0.034741061442285455,1141141.507786584,4.868036779596537,196810.944900104,19.681094490010405,0.010944542575696449,7.325513553667229,0.0005624962331347455,10,"INTC,WST,UNH,GEV,DELL,VRT,ETR,APA,VLO,PNW",0.05000002005811928,,0.049999995447312144,,,0.05000000298092118,,,,0.04999999965574006,,,,,,0.049999998561231246,0.2481793066739885,,,,,,,0.04999999467891,,,0.05000000057378955,0.3518206285253831,0.04999999968003609,,,,,,,,,
2026-04-30,1148906.2016355083,-415.7082811202854,-0.0003616987351702368,1148901.1243398653,5.077295643123307,262603.2008698938,26.260320086989374,0.010905098805726543,7.235932613087608,0.0005723619084555996,10,"INTC,UNH,GEV,DELL,HUM,APA,ETR,VRT,PPL,VLO",0.053110324782682745,,0.05000085120708957,,,0.05000149324687707,,,,0.05000097233055171,,,,,,0.05000190023882876,0.23894180470094442,,,,,0.05000161402398714,,,,,,0.3579381105235941,0.05000185657286144,0.050000782042921035,,,,,,,,
2026-05-01,1170374.5157319885,27309.614445335697,0.023891569424094417,1170369.5887493724,4.926982616068017,272212.8460041152,27.221284600411515,0.011466908826249428,7.572538557985263,0.0005778435539477677,10,"INTC,UNH,HUM,GEV,DELL,APA,VLO,ETR,VRT,PNW",0.08360626001358588,,0.05000004802823166,,,0.05000005978539395,,,,0.05000005006277755,,,,,,0.050000137166988944,0.17638348251540195,,,,,0.05000015880808994,,0.05000004048983696,,,,0.39000952970657976,0.05000011646305664,,,,,,,,,
2026-05-04,1161677.4793603946,-8760.462460984476,-0.007484773133167459,1161666.9325129103,10.546847484190948,427463.1266399317,42.746312663993166,0.011466746215533561,7.521650992247593,0.0005856721677169237,10,"INTC,HUM,UNH,PWR,FIX,APA,DELL,ETR,VLO,DTE",0.0980002857503337,,0.05000047457747941,,,,,,,,,,,,0.05000061522456059,0.05000085584654278,0.13665605781460435,,,,,0.05000094768635607,,,,,,0.4153383653664984,0.05000089398229074,,0.050000788433135435,0.05000041750366142,,,,,,
2026-05-05,1226438.2916122547,36403.06469421112,0.030589905131201765,1226427.5845476042,10.707064650562621,286733.6775863824,28.673367758638243,0.012154456870559755,7.92719490366041,0.0005924239154762304,10,"INTC,HUM,PWR,UNH,FIX,DELL,APA,FANG,ETR,NEE",0.08532381110676263,,0.05000005249161432,,,,,,,,,,,,0.05000006850618601,0.050000097646843385,0.15670076828099752,,,,,0.050000071771464746,,,,,,0.4079746681106833,,,0.05000010172786668,,0.050000126166828786,0.05000004631399715,,,,
2026-05-06,1246286.6168886372,10193.497857091483,0.008246545264387431,1246270.5510010878,16.065887549505796,851917.8443052536,85.19178443052536,0.011665331520280691,7.593969245460949,0.0005946440040177903,10,"INTC,STX,PWR,HUM,EME,UNH,MPC,APA,ETR,PNW",0.10285610313864103,,0.049999989203308386,,,,,,,,,,,,,0.04999999340863082,,,,,,0.04999999199572413,,0.04999998853564552,,,,0.3870123094171901,,,0.049999996283237716,,,,0.16013162742309453,0.04999999226024698,0.049999997919545805,
2026-05-07,1216143.7317884152,-10222.061985867098,-0.008335247148738161,1216126.9391110283,16.79267738679699,346622.49755058764,34.66224975505876,0.012806076486278751,8.504668222219468,0.0005713707076706763,10,"STX,INTC,PWR,HUM,EME,MPC,WST,APA,ETR,PNW",0.09380296584022524,,0.050000054686058525,,,,,,,,,,,,,,,,,,,0.050000090010674604,,0.05000004736636988,,,0.050000083016443465,0.30509444569053235,,,0.05000009712921451,,,,0.25110168343688477,0.05000007310832821,0.050000120301974656,
2026-05-08,1321450.772140031,89408.52533012955,0.07256936648206097,1321434.5208161052,16.25132392589876,1218855.824749567,121.88558247495669,0.01592954539708879,8.144563814421025,0.0009639880356172638,10,"INTC,SNDK,HUM,ELV,FIX,VRT,MPC,APA,ETR,NEE",0.05000000821910726,,0.05000000547876415,,,,,,,0.05000001443944234,,,,,0.05000001376492355,,,,,0.10000017783351155,,0.05000001110585946,,,,,,0.49999963770370304,,,,,,0.05000000480905483,,,0.050000007054935486,0.0500000101311076
2026-05-11,1379665.8209309236,19217.627472745255,0.014125953171281878,1379642.638098329,23.182832594584397,1098549.254315821,109.8549254315821,0.013451146648432995,8.225884943029401,0.0006738355110495759,10,"STX,INTC,PWR,HUM,DVA,FIX,ETR,APA,FANG,NEE",0.05000002194848938,,0.05000000610812099,,,,,,0.05000002064143315,,,,,,0.05000001115703764,,,,,,,0.050000022851938684,,,,,,0.3657806787267179,,,0.0500000145783102,,0.050000011097318324,0.050000004701937203,0.23421907256612742,,,
